user_id,username,name,sex,address,mail,birthdate,country,job,phone_number,date
L965479577,mli,顧宇軒,F,376 太保象山巷72號3樓,vduan@gmail.com,1912-04-29,巴拿馬,金融承銷員,(02) 35928789,2010-05-13
E915315081,uchen,劉郁婷,F,167 馬公國凱八德街5段8號9樓,dbai@hotmail.com,1964-08-16,尼日,半導體製程工程師,06-27543516,2007-01-25
T241314125,mengqiang,張冠霖,M,26583 高雄民生巷3段86號2樓,hqiao@hotmail.com,1973-09-13,巴哈馬,律師,(05) 53108105,2017-07-31
J489809738,xiafang,馬婷婷,M,169 關山長春路70號之6,li02@hotmail.com,1964-04-22,希臘,手工包裝工,0996-449515,1977-03-14
K785123662,guiying09,張佩君,F,36105 桃園市自由巷58號2樓,sye@hotmail.com,1973-04-08,捷克,才藝類老師,09 3033924,2000-08-09
D469987841,min76,胡雅慧,F,921 桃園成功路8號8樓,tao78@hotmail.com,1972-10-06,韓國,焊接及切割技術員,045 66722836,2017-12-10
X086390910,xia40,顏家瑜,F,285 楊梅永寧巷1號1樓,xiuying18@hotmail.com,1971-10-23,幾內亞,核保／保險內勤人員,009 67012224,2003-07-30
G573484459,dzou,王婉婷,F,456 豐原市雙連巷86號6樓,jiangna@gmail.com,1915-05-12,香港,倉管,05-6477986,1989-09-05
I504377166,jing02,李雅萍,M,604 高雄市迴龍巷2號之6,owei@hotmail.com,1989-11-01,玻利維亞,治療師,0908400885,1984-01-07
F661388082,li76,莫傑克,M,490 北斗象山巷7段77號之7,guiyinghou@gmail.com,1969-02-06,直布羅陀,行政人員,03-4937687,1988-10-18
N563618965,dufang,余淑娟,F,266 台南縣文化街8段876號之8,naxiong@gmail.com,2021-01-23,宏都拉斯,採購主管,0957-771961,2007-08-28
S054347311,juan43,白怡君,F,41829 頭份公園巷6號之7,yongtan@yahoo.com,1923-02-25,丹麥,多媒體開發主管,0960626466,2001-09-29
O841407329,yongxia,劉雅涵,F,38073 宜蘭新埔路749號1樓,guoyang@hotmail.com,1932-02-13,索羅門群島,醫療器材研發工程師,(07) 82610420,1999-12-04
X139202716,pingxu,朱家豪,M,81631 蘆竹市復興巷32號之1,taosu@yahoo.com,1912-02-02,土耳其,製鞋類人員,(09) 73838876,1993-05-16
D572166225,yili,龍淑華,F,21034 苗栗莒光巷30號之3,wugang@hotmail.com,1933-02-05,阿路巴,舞蹈指導與舞蹈家,0955794742,1988-10-26
Z858653490,kzeng,曹佳蓉,F,307 花蓮市新北投街4號之9,sunli@hotmail.com,1930-03-07,喀麥隆,資訊助理人員,02-52367678,1993-09-12
M377759106,yang89,王思穎,F,73539 白沙縣府中路8號之9,liyu@hotmail.com,1958-06-12,巴布亞紐幾內亞,醫師,01-91302889,2014-08-26
H394636175,xiuying28,王惠婷,F,94613 汐止市勝利路23號2樓,kyi@hotmail.com,1921-05-02,敘利亞,導演,(05) 57721564,2002-11-04
V625910526,caotao,陳中山,F,499 板橋縣新生巷15號之0,ftian@yahoo.com,1919-08-16,厄利垂亞,自動控制工程師,0945-745152,2019-12-26
X135795566,guiyingzou,韓俊傑,F,763 台南文昌街3號之5,jie72@yahoo.com,1983-02-08,瓜地馬拉,導遊,0934-549061,1972-01-03
A898380467,gang22,劉婉婷,M,92898 新營市仁愛街32號之9,sbai@gmail.com,1949-01-17,巴拿馬,領班,09-77992825,1984-05-05
C434163458,jing25,黃沖,M,566 蘆竹和街街5號之5,xia95@yahoo.com,1914-11-06,馬拉威,消防員,(02) 41142264,2014-04-28
B039021031,tbai,楊沖,M,12894 台北市育英路1號4樓,leijia@gmail.com,1905-08-14,以色列,結構技師,(09) 86224884,1986-06-12
O485434728,fangjin,張淑芬,F,230 蘆竹新北投街171號之4,pingyin@yahoo.com,1965-12-14,秘魯,紡織化學工程師,(01) 29463595,2017-10-30
A271456497,li90,石嘉玲,M,155 澎湖國凱八德路85號之3,lei70@hotmail.com,2005-06-10,蒲隆地,行銷企劃主管,02 5710882,1982-09-18
G378114158,min78,郭嘉玲,M,987 太保自強巷488號之2,mingjiang@hotmail.com,1949-06-30,愛爾蘭,研究人員,07-3703214,2009-12-27
F837378985,li40,劉淑華,M,95420 臺東新生巷24號0樓,luomin@gmail.com,2015-08-24,奈及利亞,光學工程師,0935612664,2019-08-04
D311693970,yan76,國佳樺,F,198 斗六大同巷29號之9,luwei@hotmail.com,1985-07-09,秘魯,平面設計／美編人員,(05) 37341570,1983-09-27
U737903288,guiyingjiang,李承翰,F,69468 三重市淡水巷1段3號1樓,yang38@yahoo.com,1943-08-18,科威特,排版人員,0997832514,2018-02-18
F782174763,guiying97,謝淑芬,F,95167 嘉義中華街340號之3,renxiuying@hotmail.com,1955-04-07,不丹,運輸物流類主管,08-2523878,2018-05-06
E307238364,xia89,馬雅芳,M,21448 楊梅縣動物園巷2段9號之8,ping63@yahoo.com,1982-04-18,印度,領班,05 6899082,2018-01-13
C046119773,sxia,曾雅玲,F,62710 板橋民生路15號之5,yang65@hotmail.com,1953-09-18,摩爾多瓦,水電工程師,05-65195649,2005-07-17
L305775047,huangguiying,陳佳慧,F,422 八德新埔街6號之6,weiyuan@gmail.com,1947-02-26,紐西蘭,補習班老師,079 36598363,2016-09-04
P067917119,eliao,王龍,M,406 朴子縣育英路999號之1,gaoyan@hotmail.com,2018-05-02,索馬利亞,砌磚工,007 34519518,2014-02-16
N857327084,yilei,陳雅涵,F,24566 太保市景美街5號之0,gzeng@hotmail.com,1989-04-24,以色列,演算法開發工程師,03 3828469,2008-11-22
M016309920,chao66,黃哲瑋,F,49561 新竹民有路6號1樓,lei73@gmail.com,2018-03-17,加彭,病理藥理研究人員,00-9646273,1977-07-04
A568252437,jcheng,桑家豪,M,620 白沙景美巷29號之0,songjing@hotmail.com,1946-02-08,埃及,股務人員,0998-540525,1987-04-04
Z396388821,ping21,武傑克,M,66941 白沙市四維路2段935號5樓,djin@yahoo.com,1967-05-29,印尼,化工化學工程師,083 10440261,1984-03-16
P815193674,xiulan08,李詩婷,F,616 北港縣新生路3段56號之0,xiatao@yahoo.com,1926-06-15,索馬利亞,股務人員,05-8540157,1974-12-21
R331305814,baiguiying,張怡安,M,237 中和縣公園街8號5樓,xuejing@yahoo.com,1934-01-07,模里西斯,外務／快遞／送貨,03-72533380,1994-05-16
F753889309,tao44,馮懿,M,18615 馬公華興路3號4樓,lixue@yahoo.com,1973-01-23,哥倫比亞,半導體設備工程師,0961-896615,2015-05-14
C736655231,xiuyinglin,廖承翰,M,656 新竹自由路4號1樓,yong24@gmail.com,1952-08-17,巴拉圭,噴漆人員,(01) 90375301,1985-09-29
F404975527,axue,李俊賢,F,67096 光復市中山巷6段224號4樓,yang97@hotmail.com,1989-08-01,模里西斯,推土機設備操作員,(00) 56246127,1993-01-13
N775174949,yanliu,王家豪,F,86541 褒忠中山路5號6樓,junzeng@hotmail.com,1911-10-14,阿拉伯聯合大公國,國貿人員,(02) 76807073,1995-08-28
K648299002,fengchao,陳佩君,F,75300 桃園廣慈路374號9樓,minwei@hotmail.com,1921-10-01,愛爾蘭,軟韌體測試工程師,(06) 99031647,2010-06-08
A765092636,gang05,王雅涵,M,693 臺東雙連巷3號之4,shigang@gmail.com,1992-10-08,敘利亞,花藝／園藝人員,02-74151535,2020-12-09
V864949023,nayuan,周心怡,M,560 新竹民治路996號8樓,uxia@hotmail.com,1979-05-22,安圭拉,牙醫師,0967074080,2017-06-08
U998142549,juanhuang,邱中山,F,204 平鎮市民族路9號之3,wei32@hotmail.com,1945-12-03,馬爾他,醫療人員,052 64217541,2008-02-13
C219357846,lhou,程雅芳,M,48404 楊梅市龍山寺巷9段856號之0,fmo@hotmail.com,1939-07-02,巴西,會計師,052 84453609,1978-11-28
Q780527937,pingxie,王美玲,F,25610 太平成功巷28號8樓,xiapan@gmail.com,1981-08-13,科威特,MIS／網管主管,07 2431527,1974-08-23
F032871335,dailei,周依婷,M,32124 汐止中興路4號7樓,jwu@yahoo.com,1963-10-22,瑞士,助理工程師,02 8451593,1982-09-13
W964897049,wei78,陳志宏,F,50490 鳳山縣國凱八德巷7段3號3樓,yangang@yahoo.com,1974-12-25,獅子山,公共衛生人員,0919-276104,1983-07-06
L775361008,lxiao,王俊賢,M,907 新營市公園路194號之4,min38@gmail.com,1951-09-08,厄利垂亞,塗裝技術人員,02-52479699,2003-12-28
Z210662289,wzhang,唐惠雯,F,365 褒忠縣關渡街248號5樓,yong52@hotmail.com,2005-06-09,土耳其,麻醉醫師,00 4206351,1971-06-03
B156622767,jshen,龍雅涵,M,731 員林市大安巷15號1樓,xiuying27@hotmail.com,1981-04-26,斯洛伐克,機械加工技術人員,068 54799876,1993-11-15
T576617363,hwu,廖欣怡,M,10851 新營新埔巷588號之0,sunxia@yahoo.com,1947-04-02,巴貝多,吊車／起重機設備操作員,01-53301751,2010-06-24
